instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j1013_10	3	19.000	19.000	0.000	18	0.944	17.171
j1014_1	3	21.000	21.000	0.000	14	0.427	6.247
j1014_2	3	22.000	22.000	0.000	26	0.517	13.625
j1014_3	3	28.000	28.000	0.000	120	5.227	627.477
j1014_4	3	26.000	26.000	0.000	117	2.382	278.842
j1014_5	3	30.000	30.000	0.000	78	0.537	42.079
j1014_6	3	22.000	22.000	0.000	205	6.184	1267.839
j1014_7	3	23.000	23.000	0.000	52	0.725	37.868
j1014_8	3	29.000	29.000	0.000	124	1.114	138.475
j1014_9	3	31.000	31.000	0.000	193	4.132	797.673
j1014_10	3	14.000	14.000	0.000	12	0.440	5.453
j1015_1	3	20.000	20.000	0.000	17	0.596	10.275
j1015_2	3	36.000	36.000	0.000	465	2.618	1217.724
j1015_3	3	23.000	23.000	0.000	198	2.946	583.424
j1015_4	3	16.000	16.000	0.000	16	0.473	7.725
j1015_5	3	10.000	10.000	0.000	10	0.341	3.664
j1015_6	3	28.000	28.000	0.000	137	29.353	4021.566
j1015_7	3	13.000	13.000	0.000	9	0.778	7.152
j1015_8	3	16.000	16.000	0.000	13	0.490	6.554
j1015_9	3	21.000	21.000	0.000	90	3.232	290.989
j1015_10	3	27.000	27.000	0.000	156	1.188	185.442
j1016_1	3	21.000	21.000	0.000	12	0.463	5.700
j1016_2	3	25.000	25.000	0.000	25	0.644	16.354
j1016_3	3	18.000	18.000	0.000	69	0.698	48.340
j1016_4	3	29.000	29.000	0.000	133	1.116	148.645
j1016_5	3	38.000	38.000	0.000	102	0.911	93.097
j1016_6	3	33.000	33.000	0.000	69	9.251	638.482
j1016_7	3	19.000	19.000	0.000	23	0.682	15.842
j1016_8	3	13.000	13.000	0.000	55	2.192	120.721
j1016_9	3	25.000	25.000	0.000	61	0.851	52.149
j1016_10	3	40.000	40.000	0.000	106	0.661	70.214
j1018_1	3	21.000	21.000	0.000	89	1.321	117.682
j1018_2	3	22.000	22.000	0.000	99	2.289	226.785
j1018_3	3	23.000	23.000	0.000	15	0.638	9.753
j1018_4	3	26.000	26.000	0.000	33	0.885	29.375
j1018_5	3	19.000	19.000	0.000	50	0.539	27.132
j1018_6	3	23.000	23.000	0.000	45	0.512	23.288
j1018_7	3	18.000	18.000	0.000	11	0.433	4.911
j1018_8	3	25.000	25.000	0.000	34	0.509	17.460
j1018_9	3	19.000	19.000	0.000	40	0.514	20.713
j1018_10	3	23.000	23.000	0.000	14	0.511	7.315
j1019_1	3	21.000	21.000	0.000	15	0.499	7.639
j1019_2	3	23.000	23.000	0.000	42	0.578	24.446
j1019_3	3	25.000	25.000	0.000	44	1.155	51.064
j1019_4	3	24.000	24.000	0.000	49	2.712	133.050
j1019_5	3	20.000	20.000	0.000	16	0.402	6.592
j1019_6	3	25.000	25.000	0.000	65	0.661	43.120
j1019_7	3	22.000	22.000	0.000	26	0.434	11.426
j1019_8	3	21.000	21.000	0.000	42	0.723	30.523
j1019_9	3	18.000	18.000	0.000	172	4.044	695.777
j1019_10	3	16.000	16.000	0.000	10	0.301	3.159
j1020_1	3	18.000	18.000	0.000	11	0.366	4.181
j1020_2	3	27.000	27.000	0.000	116	8.700	1009.376
j1020_3	3	33.000	33.000	0.000	91	0.626	57.111
j1020_4	3	26.000	26.000	0.000	58	0.443	25.847
j1020_5	3	18.000	18.000	0.000	46	0.571	26.447
j1020_6	3	29.000	29.000	0.000	115	0.622	71.642
j1020_8	3	18.000	18.000	0.000	30	0.602	18.224
j1020_9	3	13.000	13.000	0.000	14	0.460	6.624
j1020_10	3	16.000	16.000	0.000	4	0.453	1.979
j1021_1	3	27.000	27.000	0.000	46	0.527	24.408
j1021_2	3	19.000	19.000	0.000	23	0.502	11.715
j1021_3	3	38.000	38.000	0.000	273	0.947	258.814
j1021_4	3	18.000	18.000	0.000	31	0.545	17.068
j1021_5	3	33.000	33.000	0.000	157	1.039	163.316
j1021_6	3	19.000	19.000	0.000	54	0.635	34.467
j1021_7	3	17.000	17.000	0.000	26	0.584	15.355
j1021_8	3	18.000	18.000	0.000	45	1.214	54.792
j1021_9	3	18.000	18.000	0.000	109	3.866	421.517
j1021_10	3	25.000	25.000	0.000	57	1.156	66.096
j1022_1	3	25.000	25.000	0.000	56	1.889	105.954
j1022_2	3	16.000	16.000	0.000	8	0.403	3.379
j1022_3	3	31.000	31.000	0.000	65	0.521	34.016
j1022_4	3	21.000	21.000	0.000	20	0.531	10.798
j1022_5	3	19.000	19.000	0.000	35	0.433	15.338
j1022_6	3	24.000	24.000	0.000	33	0.480	16.025
j1022_7	3	12.000	12.000	0.000	3	0.310	1.114
j1022_8	3	26.000	26.000	0.000	76	0.650	49.536
j1022_9	3	29.000	29.000	0.000	30	0.465	14.114
j1022_10	3	26.000	26.000	0.000	29	0.364	10.724
j1023_1	3	21.000	21.000	0.000	18	0.527	9.652
j1023_2	3	22.000	22.000	0.000	41	0.505	20.886
j1023_3	3	24.000	24.000	0.000	60	0.625	37.698
j1023_4	3	24.000	24.000	0.000	36	0.671	24.346
j1023_5	3	23.000	23.000	0.000	21	0.564	12.032
j1023_6	3	28.000	28.000	0.000	64	0.674	43.314
j1023_8	3	27.000	27.000	0.000	50	0.679	34.119
j1023_9	3	17.000	17.000	0.000	31	0.598	18.741
j1023_10	3	24.000	24.000	0.000	10	0.164	1.819
j1024_1	3	11.000	11.000	0.000	11	0.257	2.991
j1024_2	3	22.000	22.000	0.000	47	0.406	19.242
j1024_3	3	15.000	15.000	0.000	9	0.440	4.137
j1024_4	3	22.000	22.000	0.000	79	0.672	53.235
j1024_5	3	22.000	22.000	0.000	40	0.499	20.116
j1024_6	3	26.000	26.000	0.000	26	0.550	14.445
j1024_7	3	26.000	26.000	0.000	61	0.513	31.465
j1024_8	3	37.000	37.000	0.000	119	0.700	83.396
j1024_9	3	16.000	16.000	0.000	61	0.623	38.136
j1024_10	3	24.000	24.000	0.000	31	0.479	14.996
j1026_1	3	22.000	22.000	0.000	28	0.427	12.141
j1026_2	3	16.000	16.000	0.000	11	0.336	3.883
j1026_3	3	26.000	26.000	0.000	30	0.400	12.164
j1026_4	3	22.000	22.000	0.000	13	0.426	5.708
j1026_5	3	25.000	25.000	0.000	60	0.549	33.127
j1026_6	3	26.000	26.000	0.000	72	0.480	34.766
j1026_7	3	22.000	22.000	0.000	24	0.474	11.556
j1026_8	3	24.000	24.000	0.000	32	0.407	13.170
j1026_9	3	18.000	18.000	0.000	4	0.172	0.854
j1026_10	3	24.000	24.000	0.000	25	0.459	11.626
j1027_1	3	24.000	24.000	0.000	36	0.488	17.738
j1027_2	3	18.000	18.000	0.000	27	0.459	12.567
j1027_3	3	23.000	23.000	0.000	44	0.429	19.053
j1027_4	3	22.000	22.000	0.000	45	0.610	27.609
j1027_5	3	25.000	25.000	0.000	29	0.468	13.721
j1027_6	3	22.000	22.000	0.000	23	0.401	9.378
j1027_7	3	15.000	15.000	0.000	29	0.421	12.349
j1027_8	3	19.000	19.000	0.000	27	0.398	10.898
j1027_9	3	23.000	23.000	0.000	19	0.491	9.485
j1027_10	3	22.000	22.000	0.000	19	0.338	6.567
j1028_1	3	30.000	30.000	0.000	86	0.522	45.084
j1028_2	3	37.000	37.000	0.000	87	0.451	39.414
j1028_3	3	31.000	31.000	0.000	91	0.527	48.157
j1028_4	3	25.000	25.000	0.000	51	0.531	27.264
j1028_5	3	27.000	27.000	0.000	87	0.623	54.399
j1028_6	3	13.000	13.000	0.000	4	0.195	0.954
j1028_7	3	24.000	24.000	0.000	29	0.422	12.404
j1028_8	3	24.000	24.000	0.000	52	0.500	26.185
j1028_9	3	18.000	18.000	0.000	39	0.473	18.656
j1028_10	3	28.000	28.000	0.000	66	0.554	36.750
j1029_1	3	23.000	23.000	0.000	27	0.443	12.110
j1029_2	3	20.000	20.000	0.000	29	0.473	13.905
j1029_3	3	24.000	24.000	0.000	54	0.458	24.915
j1029_4	3	26.000	26.000	0.000	45	0.535	24.275
j1029_5	3	27.000	27.000	0.000	31	0.487	15.269
j1029_6	3	26.000	26.000	0.000	28	0.416	11.792
j1029_7	3	23.000	23.000	0.000	19	0.473	9.173
j1029_8	3	15.000	15.000	0.000	8	0.275	2.378
j1029_9	3	22.000	22.000	0.000	20	0.460	9.385
j1029_10	3	25.000	25.000	0.000	38	0.532	20.402
j1030_1	3	23.000	23.000	0.000	34	0.538	18.472
j1030_2	3	16.000	16.000	0.000	15	0.352	5.448
j1030_3	3	27.000	27.000	0.000	72	0.542	39.168
j1030_4	3	18.000	18.000	0.000	14	0.438	6.282
j1030_5	3	36.000	36.000	0.000	143	0.633	90.725
j1030_6	3	33.000	33.000	0.000	65	0.529	34.510
j1030_7	3	20.000	20.000	0.000	26	0.484	12.735
j1030_8	3	20.000	20.000	0.000	22	0.385	8.631
j1030_9	3	21.000	21.000	0.000	100	0.566	56.717
j1030_10	3	27.000	27.000	0.000	28	0.412	11.689
j1031_1	3	26.000	26.000	0.000	25	0.484	12.264
j1031_2	3	23.000	23.000	0.000	62	0.427	26.603
j1031_3	3	24.000	24.000	0.000	21	0.355	7.602
j1031_4	3	27.000	27.000	0.000	65	0.466	30.460
j1031_5	3	21.000	21.000	0.000	8	0.441	3.672
j1031_6	3	32.000	32.000	0.000	28	0.486	13.773
j1031_7	3	21.000	21.000	0.000	24	0.462	11.227
j1031_8	3	25.000	25.000	0.000	32	0.436	14.135
j1031_9	3	22.000	22.000	0.000	17	0.350	6.121
j1031_10	3	18.000	18.000	0.000	12	0.419	5.199
j1032_1	3	26.000	26.000	0.000	82	0.494	40.703
j1032_2	3	18.000	18.000	0.000	121	0.683	82.848
j1032_3	3	30.000	30.000	0.000	45	0.595	26.944
j1032_4	3	19.000	19.000	0.000	29	0.416	12.222
j1032_5	3	17.000	17.000	0.000	16	0.343	5.643
j1032_6	3	27.000	27.000	0.000	55	0.626	34.605
j1032_7	3	26.000	26.000	0.000	24	0.390	9.525
j1032_8	3	19.000	19.000	0.000	32	0.437	14.127
j1032_9	3	23.000	23.000	0.000	22	0.548	12.214
j1032_10	3	20.000	20.000	0.000	23	0.393	9.197
j1034_1	3	32.000	23.000	0.281	30	224.169	7200.000
j1034_2	3	18.000	14.000	0.222	62	113.439	7200.000
j1034_3	3	32.000	23.000	0.281	10	626.623	7200.000
j1034_4	3	27.000	21.000	0.222	4	1214.963	7200.000
j1034_5	3	30.000	22.000	0.267	60	115.465	7200.000
j1034_6	3	42.000	30.000	0.286	12	515.496	7200.000
j1034_7	3	36.000	26.000	0.278	26	265.892	7200.000
j1034_8	3	25.000	19.000	0.240	11	577.179	7200.000
j1034_9	3	38.000	27.000	0.289	11	591.292	7200.000
j1034_10	3	18.000	14.000	0.222	50	139.371	7200.000
j1035_1	3	41.000	28.000	0.317	4	1051.505	7200.000
j1035_2	3	46.000	32.000	0.304	8	793.573	7200.000
j1035_3	3	inf	-inf	nan	0	inf	7200.000
j1035_4	3	33.000	24.000	0.273	10	619.397	7200.000
j1035_5	3	31.000	24.000	0.226	49	142.098	7200.000
j1035_6	3	27.000	20.000	0.259	39	176.710	7200.000
j1035_7	3	31.000	22.000	0.290	20	324.977	7200.000
j1035_8	3	40.000	28.000	0.300	6	574.876	7200.000
